"","Days to Ship Actual","Sales Forecast","Ship Status","Days to Ship Scheduled","Category","City","Country","Customer Name","Discount","Number of Records","Order Date","Order ID","Postal Code","Product Name","Profit","Quantity","Region","Sales","Segment","Ship Date","Ship Mode","State","Sub-Category"
"526",7,"$33","Shipped Late",6,"Office Supplies","Lawrence","United States","Brian Dahlen","0.00%",1,2015-02-12,"CA-2015-158792",1841,"Staples","$10",5,"East","$22","Consumer","42401","Standard Class","Massachusetts","Fasteners"
"527",5,"$1,024","Shipped Early",6,"Furniture","Lakeland","United States","Patricia Hirasaki","20.00%",1,2017-02-10,"CA-2017-113558",33801,"Global Commerce Series High-Back Swivel/Tilt Chairs","$43",3,"South","$684","Home Office","10/26/2017","Standard Class","Florida","Chairs"
"528",5,"$68","Shipped Early",6,"Furniture","Lakeland","United States","Patricia Hirasaki","20.00%",1,2017-02-10,"CA-2017-113558",33801,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany","$5",3,"South","$46","Home Office","10/26/2017","Standard Class","Florida","Furnishings"
"529",4,"$54","Shipped Early",6,"Office Supplies","Philadelphia","United States","Mike Gockenbach","20.00%",1,2015-02-09,"US-2015-138303",19134,"Eldon Gobal File Keepers","-$7",3,"East","$36","Consumer","42194","Standard Class","Pennsylvania","Storage"
"530",4,"$998","Shipped Early",6,"Office Supplies","Philadelphia","United States","Mike Gockenbach","20.00%",1,2015-02-09,"US-2015-138303",19134,"Martin Yale Chadless Opener Electric Letter Opener","-$150",1,"East","$666","Consumer","42194","Standard Class","Pennsylvania","Supplies"
"531",4,"$79","Shipped Early",6,"Office Supplies","Philadelphia","United States","Mike Gockenbach","20.00%",1,2015-02-09,"US-2015-138303",19134,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes","$20",6,"East","$53","Consumer","42194","Standard Class","Pennsylvania","Envelopes"
"532",2,"$286","Shipped Early",3,"Furniture","Los Angeles","United States","Karen Bern","20.00%",1,2015-02-11,"CA-2015-102848",90036,"Safco Contoured Stacking Chairs","$12",1,"West","$191","Corporate","42258","Second Class","California","Chairs"
"533",4,"$72","Shipped Early",6,"Furniture","Los Angeles","United States","Jasper Cacioppo","0.00%",1,2017-02-09,"US-2017-129441",90032,"Tenex Chairmats For Use With Carpeted Floors","$2",3,"West","$48","Consumer","43048","Standard Class","California","Furnishings"
"534",3,"$1,468","Shipped On Time",3,"Technology","Montgomery","United States","Rob Lucas","0.00%",1,2016-02-05,"CA-2016-168753",36116,"Panasonic KX-TG9471B","$274",5,"South","$980","Consumer","42375","Second Class","Alabama","Phones"
"535",3,"$34","Shipped On Time",3,"Office Supplies","Montgomery","United States","Rob Lucas","0.00%",1,2016-02-05,"CA-2016-168753",36116,"Presstex Flexible Ring Binders","$11",5,"South","$23","Consumer","42375","Second Class","Alabama","Binders"
"536",6,"$25","Shipped On Time",6,"Office Supplies","Mesa","United States","Allen Armold","20.00%",1,2016-02-07,"CA-2016-126613",85204,"Sterilite Officeware Hinged File Box","$1",2,"West","$17","Consumer","7/16/2016","Standard Class","Arizona","Storage"
"537",5,"$64","Shipped Late",3,"Office Supplies","Chicago","United States","Emily Phan","80.00%",1,2017-02-09,"US-2017-122637",60653,"Premier Elliptical Ring Binder, Black","-$68",7,"Central","$43","Consumer","42956","Second Class","Illinois","Binders"
"538",5,"$16","Shipped Early",6,"Office Supplies","New York City","United States","Mark Packer","20.00%",1,2015-02-12,"CA-2015-147851",10009,"Cardinal Poly Pocket Divider Pockets for Ring Binders","$3",4,"East","$11","Home Office","42228","Standard Class","New York","Binders"
"539",4,"$229","Shipped Early",6,"Office Supplies","Henderson","United States","Darren Koutras","0.00%",1,2015-02-12,"CA-2015-134894",42420,"Eureka The Boss Cordless Rechargeable Stick Vac","$41",3,"South","$153","Consumer","42320","Standard Class","Kentucky","Appliances"
"540",4,"$425","Shipped Early",6,"Furniture","Henderson","United States","Darren Koutras","0.00%",1,2015-02-12,"CA-2015-134894",42420,"Situations Contoured Folding Chairs, 4/Set","$71",4,"South","$284","Consumer","42320","Standard Class","Kentucky","Chairs"
"541",2,"$702","Shipped Late",1,"Technology","Green Bay","United States","Bradley Drucker","0.00%",1,2014-02-02,"CA-2014-140795",54302,"Enermax Aurora Lite Keyboard","$206",6,"Central","$469","Consumer","41700","First Class","Wisconsin","Accessories"
"542",3,"$570","Shipped Late",1,"Technology","Tucson","United States","Erin Smith","20.00%",1,2016-02-07,"CA-2016-136924",85705,"LG Electronics Tone+ HBS-730 Bluetooth Headset","$38",8,"West","$381","Corporate","7/17/2016","First Class","Arizona","Phones"
"543",5,"$969","Shipped Early",6,"Office Supplies","Springfield","United States","Liz MacKendrick","20.00%",1,2015-02-12,"US-2015-120161",45503,"Fellowes Officeware Wire Shelving","-$146",9,"East","$647","Consumer","12/23/2015","Standard Class","Ohio","Storage"
"544",5,"$87","Shipped Early",6,"Technology","Fort Worth","United States","Paul Gonzalez","20.00%",1,2014-02-05,"CA-2014-103849",76106,"SanDisk Cruzer 64 GB USB Flash Drive","$7",2,"Central","$58","Consumer","5/16/2014","Standard Class","Texas","Accessories"
"545",5,"$151","Shipped Early",6,"Technology","Fort Worth","United States","Paul Gonzalez","20.00%",1,2014-02-05,"CA-2014-103849",76106,"Xblue XB-1670-86 X16 Small Office Telephone - Titanium","$6",1,"Central","$101","Consumer","5/16/2014","Standard Class","Texas","Phones"
"546",5,"$99","Shipped Early",6,"Furniture","Fort Worth","United States","Paul Gonzalez","60.00%",1,2014-02-05,"CA-2014-103849",76106,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting","-$84",4,"Central","$66","Consumer","5/16/2014","Standard Class","Texas","Furnishings"
"547",3,"$62","Shipped Late",1,"Office Supplies","New York City","United States","Adrian Shami","20.00%",1,2017-02-11,"CA-2017-162929",10035,"Avery Printable Repositionable Plastic Tabs","$14",6,"East","$41","Home Office","11/22/2017","First Class","New York","Binders"
"548",3,"$20","Shipped Late",1,"Office Supplies","New York City","United States","Adrian Shami","0.00%",1,2017-02-11,"CA-2017-162929",10035,"Xerox 1898","$6",2,"East","$13","Home Office","11/22/2017","First Class","New York","Paper"
"549",2,"$375","Shipped Early",3,"Office Supplies","Chicago","United States","Dean Katz","20.00%",1,2015-02-11,"CA-2015-113173",60653,"Home/Office Personal File Carts","$16",9,"Central","$250","Corporate","11/17/2015","Second Class","Illinois","Storage"
"550",2,"$17","Shipped Early",3,"Office Supplies","Chicago","United States","Dean Katz","80.00%",1,2015-02-11,"CA-2015-113173",60653,"Flexible Leather- Look Classic Collection Ring Binder","-$17",3,"Central","$11","Corporate","11/17/2015","Second Class","Illinois","Binders"
"551",2,"$13","Shipped Early",3,"Office Supplies","Chicago","United States","Dean Katz","20.00%",1,2015-02-11,"CA-2015-113173",60653,"Staple remover","-$2",5,"Central","$9","Corporate","11/17/2015","Second Class","Illinois","Supplies"
"552",2,"$1,680","Shipped Early",3,"Furniture","San Francisco","United States","Bill Donatelli","20.00%",1,2016-02-04,"CA-2016-136406",94110,"HON 5400 Series Task Chairs for Big and Tall","$0",2,"West","$1,122","Consumer","4/17/2016","Second Class","California","Chairs"
"553",1,"$52","Shipped On Time",1,"Furniture","Jacksonville","United States","Ryan Crowe","20.00%",1,2017-02-09,"CA-2017-112774",32216,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock","$6",1,"South","$35","Consumer","43078","First Class","Florida","Furnishings"
"554",4,"$16","Shipped Early",6,"Office Supplies","Houston","United States","Greg Tran","20.00%",1,2017-02-11,"CA-2017-101945",77070,"Advantus T-Pin Paper Clips","$3",3,"Central","$11","Consumer","11/28/2017","Standard Class","Texas","Fasteners"
"555",4,"$1,941","Shipped Late",3,"Office Supplies","Anaheim","United States","Dean Katz","0.00%",1,2017-02-06,"CA-2017-100650",92804,"Tennsco 16-Compartment Lockers with Coat Rack","$311",2,"West","$1,296","Corporate","42801","Second Class","California","Storage"
"556",4,"$29","Shipped Late",3,"Office Supplies","Wilmington","United States","Ashley Jarboe","20.00%",1,2014-02-03,"CA-2014-155852",28403,"Zebra Zazzle Fluorescent Highlighters","$3",4,"South","$19","Consumer","41823","Second Class","North Carolina","Art"
"557",5,"$31","Shipped Early",6,"Office Supplies","Los Angeles","United States","Olvera Toch","0.00%",1,2016-02-06,"CA-2016-113243",90045,"Avery 473","$10",2,"West","$21","Consumer","6/15/2016","Standard Class","California","Labels"
"558",5,"$2,000","Shipped Early",6,"Furniture","Los Angeles","United States","Olvera Toch","20.00%",1,2016-02-06,"CA-2016-113243",90045,"Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables","-$217",4,"West","$1,336","Consumer","6/15/2016","Standard Class","California","Tables"
"559",5,"$49","Shipped Early",6,"Office Supplies","Los Angeles","United States","Olvera Toch","0.00%",1,2016-02-06,"CA-2016-113243",90045,"Xerox 226","$16",5,"West","$32","Consumer","6/15/2016","Standard Class","California","Paper"
"560",2,"$64","Shipped Early",3,"Furniture","San Francisco","United States","Liz Pelletier","0.00%",1,2017-02-11,"CA-2017-118731",94110,"Coloredge Poster Frame","$17",3,"West","$43","Consumer","11/22/2017","Second Class","California","Furnishings"
"561",2,"$126","Shipped Early",3,"Office Supplies","San Francisco","United States","Liz Pelletier","20.00%",1,2017-02-11,"CA-2017-118731",94110,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb","$27",7,"West","$84","Consumer","11/22/2017","Second Class","California","Binders"
"562",4,"$19","Shipped Late",3,"Office Supplies","Tampa","United States","Cynthia Arntzen","20.00%",1,2014-02-09,"CA-2014-145576",33614,"Sanitaire Vibra Groomer IR Commercial Upright Vacuum, Replacement Belts","$1",5,"South","$13","Consumer","9/18/2014","Second Class","Florida","Appliances"
"563",4,"$20","Shipped Late",3,"Furniture","Tampa","United States","Cynthia Arntzen","20.00%",1,2014-02-09,"CA-2014-145576",33614,"Advantus Panel Wall Acrylic Frame","$4",3,"South","$13","Consumer","9/18/2014","Second Class","Florida","Furnishings"
"564",2,"$6","Shipped Late",1,"Office Supplies","Seattle","United States","Jeremy Farry","0.00%",1,2015-02-12,"CA-2015-130736",98105,"Alliance Big Bands Rubber Bands, 12/Pack","$0",2,"West","$4","Consumer","42259","First Class","Washington","Fasteners"
"565",2,"$4","Shipped Late",1,"Office Supplies","Seattle","United States","Jeremy Farry","0.00%",1,2015-02-12,"CA-2015-130736",98105,"Avery 509","$1",1,"West","$3","Consumer","42259","First Class","Washington","Labels"
"566",3,"$561","Shipped Late",1,"Technology","Los Angeles","United States","Frank Preis","20.00%",1,2017-02-12,"CA-2017-137099",90008,"Cisco SPA301","$47",3,"West","$374","Consumer","43020","First Class","California","Phones"
"567",7,"$138","Shipped Late",6,"Office Supplies","Seattle","United States","Ellis Ballard","0.00%",1,2017-02-10,"CA-2017-156951",98105,"Personal Creations Ink Jet Cards and Labels","$45",8,"West","$92","Corporate","42957","Standard Class","Washington","Paper"
"568",7,"$121","Shipped Late",6,"Office Supplies","Seattle","United States","Ellis Ballard","20.00%",1,2017-02-10,"CA-2017-156951",98105,"GBC White Gloss Covers, Plain Front","$27",7,"West","$81","Corporate","42957","Standard Class","Washington","Binders"
"569",7,"$29","Shipped Late",6,"Office Supplies","Seattle","United States","Ellis Ballard","0.00%",1,2017-02-10,"CA-2017-156951",98105,"Xerox 222","$9",3,"West","$19","Corporate","42957","Standard Class","Washington","Paper"
"570",7,"$676","Shipped Late",6,"Furniture","Seattle","United States","Ellis Ballard","20.00%",1,2017-02-10,"CA-2017-156951",98105,"Hon Every-Day Series Multi-Task Chairs","$0",3,"West","$451","Corporate","42957","Standard Class","Washington","Chairs"
"571",7,"$109","Shipped Late",6,"Office Supplies","New York City","United States","Jennifer Ferguson","0.00%",1,2017-02-12,"CA-2017-164826",10024,"Avery 473","$35",7,"East","$72","Consumer","43191","Standard Class","New York","Labels"
"572",7,"$21","Shipped Late",6,"Office Supplies","New York City","United States","Jennifer Ferguson","0.00%",1,2017-02-12,"CA-2017-164826",10024,"OIC Bulk Pack Metal Binder Clips","$6",4,"East","$14","Consumer","43191","Standard Class","New York","Fasteners"
"573",7,"$50","Shipped Late",6,"Office Supplies","New York City","United States","Jennifer Ferguson","20.00%",1,2017-02-12,"CA-2017-164826",10024,"Storex Dura Pro Binders","$11",7,"East","$33","Consumer","43191","Standard Class","New York","Binders"
"574",7,"$22","Shipped Late",6,"Technology","New York City","United States","Jennifer Ferguson","0.00%",1,2017-02-12,"CA-2017-164826",10024,"Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple","$4",3,"East","$15","Consumer","43191","Standard Class","New York","Phones"
"575",4,"$13","Shipped Early",6,"Office Supplies","Marysville","United States","Sarah Foster","0.00%",1,2016-02-11,"CA-2016-127250",98270,"Newell 332","$2",3,"West","$9","Consumer","42562","Standard Class","Washington","Art"
"576",4,"$241","Shipped Late",3,"Office Supplies","Long Beach","United States","Trudy Glocke","0.00%",1,2015-02-09,"CA-2015-149713",90805,"Personal Creations Ink Jet Cards and Labels","$79",14,"West","$161","Consumer","9/22/2015","Second Class","California","Paper"
"577",4,"$30","Shipped Late",3,"Office Supplies","Long Beach","United States","Trudy Glocke","0.00%",1,2015-02-09,"CA-2015-149713",90805,"Rediform S.O.S. Phone Message Books","$10",4,"West","$20","Consumer","9/22/2015","Second Class","California","Paper"
"578",4,"$11","Shipped Late",3,"Office Supplies","Long Beach","United States","Trudy Glocke","0.00%",1,2015-02-09,"CA-2015-149713",90805,"Acme Value Line Scissors","$2",2,"West","$7","Consumer","9/22/2015","Second Class","California","Supplies"
"579",6,"$104","Shipped On Time",6,"Office Supplies","Chicago","United States","Carlos Soltero","20.00%",1,2017-02-07,"CA-2017-118640",60610,"Trav-L-File Heavy-Duty Shuttle II, Black","$9",2,"Central","$70","Consumer","7/26/2017","Standard Class","Illinois","Storage"
"580",6,"$13","Shipped On Time",6,"Furniture","Chicago","United States","Carlos Soltero","60.00%",1,2017-02-07,"CA-2017-118640",60610,"Contract Clock, 14"", Brown","-$6",1,"Central","$9","Consumer","7/26/2017","Standard Class","Illinois","Furnishings"
"581",4,"$77","Shipped Early",6,"Office Supplies","Los Angeles","United States","Charles Crestani","0.00%",1,2015-02-09,"CA-2015-132906",90004,"Martin-Yale Premier Letter Opener","$2",4,"West","$52","Consumer","9/14/2015","Standard Class","California","Supplies"
"582",4,"$704","Shipped Early",6,"Technology","Denver","United States","Dianna Vittorini","20.00%",1,2017-02-12,"CA-2017-145233",80219,"GE 30524EE4","$53",3,"West","$470","Consumer","42867","Standard Class","Colorado","Phones"
"583",4,"$158","Shipped Early",6,"Technology","Denver","United States","Dianna Vittorini","20.00%",1,2017-02-12,"CA-2017-145233",80219,"AT&T SB67148 SynJ","$9",2,"West","$106","Consumer","42867","Standard Class","Colorado","Phones"
"584",4,"$47","Shipped Early",6,"Office Supplies","Denver","United States","Dianna Vittorini","20.00%",1,2017-02-12,"CA-2017-145233",80219,"Fellowes Basic Home/Office Series Surge Protectors","$4",3,"West","$31","Consumer","42867","Standard Class","Colorado","Appliances"
"585",4,"$10","Shipped Early",6,"Office Supplies","Denver","United States","Dianna Vittorini","70.00%",1,2017-02-12,"CA-2017-145233",80219,"Recycled Pressboard Report Cover with Reinforced Top Hinge","-$5",7,"West","$7","Consumer","42867","Standard Class","Colorado","Binders"
"586",4,"$609","Shipped Early",6,"Technology","Denver","United States","Dianna Vittorini","20.00%",1,2017-02-12,"CA-2017-145233",80219,"Jabra BIZ 2300 Duo QD Duo Corded Headset","$30",4,"West","$406","Consumer","42867","Standard Class","Colorado","Phones"
"587",6,"$106","Shipped On Time",6,"Furniture","Richmond","United States","Bruce Degenhardt","0.00%",1,2015-02-07,"CA-2015-128139",40475,"Novimex High-Tech Fabric Mesh Task Chair","$5",1,"South","$71","Consumer","42254","Standard Class","Kentucky","Chairs"
"588",6,"$442","Shipped On Time",6,"Office Supplies","Richmond","United States","Bruce Degenhardt","0.00%",1,2015-02-07,"CA-2015-128139",40475,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box","$145",3,"South","$295","Consumer","42254","Standard Class","Kentucky","Labels"
"589",4,"$127","Shipped Early",6,"Technology","Salem","United States","Zuschuss Carroll","20.00%",1,2016-02-03,"US-2016-156986",97301,"i.Sound Portable Power - 8000 mAh","-$20",2,"West","$85","Consumer","3/24/2016","Standard Class","Oregon","Phones"
"590",4,"$31","Shipped Early",6,"Office Supplies","Salem","United States","Zuschuss Carroll","20.00%",1,2016-02-03,"US-2016-156986",97301,"Xerox 225","$7",4,"West","$21","Consumer","3/24/2016","Standard Class","Oregon","Paper"
"591",4,"$25","Shipped Early",6,"Office Supplies","Salem","United States","Zuschuss Carroll","70.00%",1,2016-02-03,"US-2016-156986",97301,"Clear Mylar Reinforcing Strips","-$13",3,"West","$17","Consumer","3/24/2016","Standard Class","Oregon","Binders"
"592",4,"$16","Shipped Early",6,"Office Supplies","Salem","United States","Zuschuss Carroll","20.00%",1,2016-02-03,"US-2016-156986",97301,"Xerox 1894","$4",2,"West","$10","Consumer","3/24/2016","Standard Class","Oregon","Paper"
"593",4,"$14","Shipped Early",6,"Office Supplies","Laredo","United States","Melanie Seite","20.00%",1,2014-02-01,"CA-2014-135405",78041,"Newell 312","$1",2,"Central","$9","Consumer","1/13/2014","Standard Class","Texas","Art"
"594",4,"$47","Shipped Early",6,"Technology","Laredo","United States","Melanie Seite","20.00%",1,2014-02-01,"CA-2014-135405",78041,"Memorex Micro Travel Drive 8 GB","$10",3,"Central","$31","Consumer","1/13/2014","Standard Class","Texas","Accessories"
"595",7,"$114","Shipped Late",6,"Office Supplies","San Diego","United States","Lena Radford","0.00%",1,2014-02-08,"CA-2014-131450",92024,"Fellowes Superior 10 Outlet Split Surge Protector","$22",2,"West","$76","Consumer","8/15/2014","Standard Class","California","Appliances"
"596",7,"$1,797","Shipped Late",6,"Technology","San Diego","United States","Lena Radford","20.00%",1,2014-02-08,"CA-2014-131450",92024,"Sharp AL-1530CS Digital Copier","$435",3,"West","$1,200","Consumer","8/15/2014","Standard Class","California","Copiers"
"597",7,"$668","Shipped Late",6,"Technology","San Diego","United States","Lena Radford","20.00%",1,2014-02-08,"CA-2014-131450",92024,"AT&T 1070 Corded Phone","$56",5,"West","$446","Consumer","8/15/2014","Standard Class","California","Phones"
"598",7,"$491","Shipped Late",6,"Furniture","San Diego","United States","Lena Radford","0.00%",1,2014-02-08,"CA-2014-131450",92024,"Dana Halogen Swing-Arm Architect Lamp","$92",8,"West","$328","Consumer","8/15/2014","Standard Class","California","Furnishings"
"599",2,"$17","Shipped Late",1,"Office Supplies","Philadelphia","United States","Theone Pippenger","20.00%",1,2016-02-07,"CA-2016-120180",19134,"Acme Stainless Steel Office Snips","$1",2,"East","$12","Consumer","7/16/2016","First Class","Pennsylvania","Supplies"
"600",5,"$216","Shipped Early",6,"Technology","Philadelphia","United States","Chloris Kastensmidt","40.00%",1,2016-02-07,"US-2016-100720",19120,"Mophie Juice Pack Helium for iPhone","-$29",3,"East","$144","Consumer","7/21/2016","Standard Class","Pennsylvania","Phones"
"601",5,"$740","Shipped Early",6,"Technology","Philadelphia","United States","Chloris Kastensmidt","40.00%",1,2016-02-07,"US-2016-100720",19120,"GE 2-Jack Phone Line Splitter","-$115",4,"East","$494","Consumer","7/21/2016","Standard Class","Pennsylvania","Phones"
"602",5,"$9","Shipped Early",6,"Office Supplies","Philadelphia","United States","Chloris Kastensmidt","20.00%",1,2016-02-07,"US-2016-100720",19120,"Acme Value Line Scissors","$1",2,"East","$6","Consumer","7/21/2016","Standard Class","Pennsylvania","Supplies"
"603",4,"$214","Shipped Early",6,"Office Supplies","Tampa","United States","Alan Shonely","20.00%",1,2014-02-03,"CA-2014-149958",33614,"Hot File 7-Pocket, Floor Stand","$18",1,"South","$143","Consumer","3/19/2014","Standard Class","Florida","Storage"
"604",4,"$68","Shipped Early",6,"Furniture","Tampa","United States","Alan Shonely","20.00%",1,2014-02-03,"CA-2014-149958",33614,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany","$5",3,"South","$46","Consumer","3/19/2014","Standard Class","Florida","Furnishings"
"605",4,"$11","Shipped Early",6,"Office Supplies","Tampa","United States","Alan Shonely","70.00%",1,2014-02-03,"CA-2014-149958",33614,"Insertable Tab Post Binder Dividers","-$6",3,"South","$7","Consumer","3/19/2014","Standard Class","Florida","Binders"
"606",4,"$65","Shipped Early",6,"Office Supplies","Tampa","United States","Alan Shonely","70.00%",1,2014-02-03,"CA-2014-149958",33614,"GBC VeloBinder Manual Binding System","-$32",4,"South","$43","Consumer","3/19/2014","Standard Class","Florida","Binders"
"607",4,"$198","Shipped Early",6,"Office Supplies","Tampa","United States","Alan Shonely","20.00%",1,2014-02-03,"CA-2014-149958",33614,"Xerox 1889","$48",3,"South","$132","Consumer","3/19/2014","Standard Class","Florida","Paper"
"608",4,"$5","Shipped Early",6,"Office Supplies","Philadelphia","United States","Andrew Roberts","70.00%",1,2014-02-05,"US-2014-105767",19134,"Angle-D Ring Binders","-$3",2,"East","$3","Consumer","5/27/2014","Standard Class","Pennsylvania","Binders"
"609",4,"$32","Shipped Early",6,"Office Supplies","Philadelphia","United States","Andrew Roberts","20.00%",1,2014-02-05,"US-2014-105767",19134,"Newell 317","$2",9,"East","$21","Consumer","5/27/2014","Standard Class","Pennsylvania","Art"
"610",4,"$83","Shipped Early",6,"Technology","Philadelphia","United States","Andrew Roberts","40.00%",1,2014-02-05,"US-2014-105767",19134,"Motorola L804","-$10",2,"East","$55","Consumer","5/27/2014","Standard Class","Pennsylvania","Phones"
"611",3,"$553","Shipped Late",1,"Technology","Dallas","United States","Nona Balk","20.00%",1,2016-02-04,"CA-2016-161816",75217,"Nortel Meridian M3904 Professional Digital phone","$42",3,"Central","$370","Corporate","42374","First Class","Texas","Phones"
"612",3,"$24","Shipped Late",1,"Office Supplies","Dallas","United States","Nona Balk","20.00%",1,2016-02-04,"CA-2016-161816",75217,"Avery 493","$6",4,"Central","$16","Corporate","42374","First Class","Texas","Labels"
"613",2,"$13","Shipped Early",3,"Office Supplies","Philadelphia","United States","Giulietta Dortch","20.00%",1,2016-02-09,"CA-2016-121223",19143,"Xerox 1972","$3",2,"East","$8","Corporate","9/13/2016","Second Class","Pennsylvania","Paper"
"614",2,"$1,092","Shipped Early",3,"Technology","Philadelphia","United States","Giulietta Dortch","40.00%",1,2016-02-09,"CA-2016-121223",19143,"Cisco 8x8 Inc. 6753i IP Business Phone System","-$158",9,"East","$729","Corporate","9/13/2016","Second Class","Pennsylvania","Phones"
"615",3,"$180","Shipped On Time",3,"Technology","Grove City","United States","Clytie Kelty","40.00%",1,2017-02-11,"CA-2017-138611",43123,"PureGear Roll-On Screen Protector","$16",10,"East","$120","Consumer","11/17/2017","Second Class","Ohio","Phones"
"616",3,"$5","Shipped On Time",3,"Office Supplies","Grove City","United States","Clytie Kelty","70.00%",1,2017-02-11,"CA-2017-138611",43123,"Prestige Round Ring Binders","-$3",2,"East","$4","Consumer","11/17/2017","Second Class","Ohio","Binders"
"617",5,"$61","Shipped Late",3,"Furniture","New York City","United States","Nat Gilpin","0.00%",1,2017-02-08,"CA-2017-117947",10011,"DAX Metal Frame, Desktop, Stepped-Edge","$16",2,"East","$40","Corporate","8/23/2017","Second Class","New York","Furnishings"
"618",5,"$15","Shipped Late",3,"Furniture","New York City","United States","Nat Gilpin","0.00%",1,2017-02-08,"CA-2017-117947",10011,"DAX Value U-Channel Document Frames, Easel Back","$3",2,"East","$10","Corporate","8/23/2017","Second Class","New York","Furnishings"
"619",5,"$161","Shipped Late",3,"Office Supplies","New York City","United States","Nat Gilpin","20.00%",1,2017-02-08,"CA-2017-117947",10011,"Recycled Easel Ring Binders","$34",9,"East","$107","Corporate","8/23/2017","Second Class","New York","Binders"
"620",5,"$57","Shipped Late",3,"Technology","New York City","United States","Nat Gilpin","0.00%",1,2017-02-08,"CA-2017-117947",10011,"Grandstream GXP1160 VoIP phone","$11",1,"East","$38","Corporate","8/23/2017","Second Class","New York","Phones"
"621",5,"$132","Shipped Late",3,"Furniture","New York City","United States","Nat Gilpin","0.00%",1,2017-02-08,"CA-2017-117947",10011,"Seth Thomas 14"" Putty-Colored Wall Clock","$27",3,"East","$88","Corporate","8/23/2017","Second Class","New York","Furnishings"
"622",5,"$13","Shipped Early",6,"Office Supplies","Chicago","United States","Christina Anderson","80.00%",1,2014-02-12,"US-2014-111171",60610,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl","-$15",5,"Central","$9","Consumer","12/31/2014","Standard Class","Illinois","Binders"
"623",4,"$452","Shipped Early",6,"Furniture","Dearborn","United States","Sylvia Foulston","0.00%",1,2015-02-11,"CA-2015-138009",48126,"Global Manager's Adjustable Task Chair, Storm","$88",2,"Central","$302","Corporate","42075","Standard Class","Michigan","Chairs"
"624",4,"$831","Shipped Early",6,"Office Supplies","Dearborn","United States","Sylvia Foulston","10.00%",1,2015-02-11,"CA-2015-138009",48126,"Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room","$179",5,"Central","$555","Corporate","42075","Standard Class","Michigan","Appliances"
"625",4,"$784","Shipped Early",6,"Office Supplies","Dearborn","United States","Sylvia Foulston","0.00%",1,2015-02-11,"CA-2015-138009",48126,"Mini 13-1/2 Capacity Data Binder Rack, Pearl","$131",4,"Central","$523","Corporate","42075","Standard Class","Michigan","Storage"
"626",4,"$242","Shipped Early",6,"Office Supplies","Dearborn","United States","Sylvia Foulston","0.00%",1,2015-02-11,"CA-2015-138009",48126,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain","$47",9,"Central","$162","Corporate","42075","Standard Class","Michigan","Art"
"627",4,"$53","Shipped Early",6,"Furniture","New York City","United States","Meg O'Connel","0.00%",1,2017-02-09,"CA-2017-163020",10009,"Master Caster Door Stop, Brown","$12",7,"East","$36","Home Office","9/19/2017","Standard Class","New York","Furnishings"
"628",4,"$146","Shipped Early",6,"Office Supplies","Seattle","United States","Annie Thurman","0.00%",1,2017-02-05,"CA-2017-153787",98115,"Belkin Premiere Surge Master II 8-outlet surge protector","$28",2,"West","$97","Consumer","5/23/2017","Standard Class","Washington","Appliances"
"629",4,"$23","Shipped Early",6,"Office Supplies","San Francisco","United States","Logan Currie","20.00%",1,2017-02-12,"CA-2017-133431",94122,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red","$5",5,"West","$15","Consumer","12/21/2017","Standard Class","California","Binders"
"630",4,"$20","Shipped Early",6,"Office Supplies","San Francisco","United States","Logan Currie","0.00%",1,2017-02-12,"CA-2017-133431",94122,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled","$6",3,"West","$13","Consumer","12/21/2017","Standard Class","California","Paper"
"631",2,"$364","Shipped Early",3,"Office Supplies","Aurora","United States","Fred McMath","20.00%",1,2016-02-12,"US-2016-135720",80013,"Tennsco Regal Shelving Units","-$52",3,"West","$243","Consumer","12/13/2016","Second Class","Colorado","Storage"
"632",2,"$179","Shipped Early",3,"Technology","Aurora","United States","Fred McMath","20.00%",1,2016-02-12,"US-2016-135720",80013,"Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...","$30",5,"West","$120","Consumer","12/13/2016","Second Class","Colorado","Accessories"
"633",2,"$450","Shipped Early",3,"Technology","Aurora","United States","Fred McMath","20.00%",1,2016-02-12,"US-2016-135720",80013,"Jabra SPEAK 410","$30",4,"West","$301","Consumer","12/13/2016","Second Class","Colorado","Phones"
